bin_start,bin_end,bin_centre
07-Feb-2017,12-Apr-2017,11-Mar-2017
12-Apr-2017,20-Jul-2017,01-Jun-2017
20-Jul-2017,02-Oct-2017,26-Aug-2017
02-Oct-2017,09-Jan-2018,20-Nov-2017
09-Jan-2018,17-Apr-2018,27-Feb-2018
17-Apr-2018,07-Oct-2018,13-Jul-2018
07-Oct-2018,14-Jan-2019,25-Nov-2018
14-Jan-2019,17-May-2019,16-Mar-2019
17-May-2019,24-Aug-2019,05-Jul-2019
24-Aug-2019,12-Oct-2019,17-Sep-2019
12-Oct-2019,25-Dec-2019,18-Nov-2019
25-Dec-2019,26-Apr-2020,25-Feb-2020
26-Apr-2020,03-Aug-2020,14-Jun-2020
03-Aug-2020,21-Sep-2020,27-Aug-2020
21-Sep-2020,29-Dec-2020,09-Nov-2020
29-Dec-2020,06-Apr-2021,16-Feb-2021
06-Apr-2021,14-Jul-2021,26-May-2021
14-Jul-2021,26-Sep-2021,20-Aug-2021
26-Sep-2021,27-Jan-2022,27-Nov-2021
27-Jan-2022,06-Sep-2022,18-May-2022
06-Sep-2022,08-Jan-2023,07-Nov-2022
08-Jan-2023,16-Apr-2023,26-Feb-2023
16-Apr-2023,08-Aug-2023,12-Jun-2023
